run_year,fishery,Location,Month,Release.mort.rate,
2018,40,MO,5,0.15,
2018,40,MO,6,0.16,
2018,40,MO,7,0.191,
2018,40,SF,6,0.141,
2018,40,SF,7,0.151,
2018,40,SF,9,0.145,
2018,40,SF,10,0.143,
2019,10,MO,5,0.26,Assumed to be .26
2019,10,MO,6,0.26,Assumed to be .26
2019,10,MO,7,0.26,Assumed to be .26
2019,10,SF,6,0.26,Assumed to be .26
2019,10,SF,8,0.26,Assumed to be .26
2019,10,SF,9,0.26,Assumed to be .26
2019,10,SF,10,0.26,Assumed to be .26
2019,40,MO,4,0.14,Missing data. Standard .14 for recreational
2019,40,MO,6,0.14,Missing data. Standard .14 for recreational
2019,40,MO,7,0.14,Missing data. Standard .14 for recreational
2019,40,MO,8,0.14,Missing data. Standard .14 for recreational
2019,40,SF,5,0.14,Missing data. Standard .14 for recreational
2019,40,SF,6,0.14,Missing data. Standard .14 for recreational
2019,40,SF,7,0.14,Missing data. Standard .14 for recreational
2019,40,SF,8,0.14,Missing data. Standard .14 for recreational
