agency,sampling_site,area.1,area.2,area.code,catch.area,,
CDFW,EUFB,FB,,,Landed in Eureka caught in FB,,
CDFW,EUR,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,FBBO,SF,SOC1,,Pt Arena to Pt Reyes,,
CDFW,FBFB,FB,FTB,,Horse Mtn to Pt Arena,,
CDFW,FBSF,SF,SOC1,,Pt Arena to Pt Reyes,,
CDFW,FLD,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,FTB,FB,FTB,,Horse Mtn to Pt Arena,,
CDFW,HUE,MO,SOC5,,Point Sur - Mexico,,
CDFW,LMSF,SF,,,,,
CDFW,MNMO,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,MON,MO,SOC4,,Pigeon Pt - Point Sur,,
CDFW,MOR,MO,SOC5,,Point Sur - Mexico,,
CDFW,MOS,MO,SOC4,,Pigeon Pt to Point Sur,,changed to CO
CDFW,MRMA,MO,SOC5,,Point Sur - Mexico,,s
CDFW,MRMO,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,MSMO,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,OAK,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,OXN,MO,SOC5,,Point Sur - Mexico,,
CDFW,PRI,SF,SOC3,,Pedro Pt - Pigeon Pt,,
CDFW,PRMO,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,PRSF,SF,SOC3,,Pedro Pt - Pigeon Pt,,
CDFW,SASF,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,SAU,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,SBA,MO,SOC5,,Point Sur - Mexico,,
CDFW,SCMO,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,SCR,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,SFMO,MO,SOC4,,Pigeon Pt to Point Sur,,
CDFW,SFSF,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,SHC,FB,FTB,,Horse Mtn to Pt Arena,,
CDFW,SHFB,FB,FTB,,Horse Mtn to Pt Arena,,changed from MA to MO
CDFW,SNF,SF,SOC2,,Pt Reyes to Pedro Pt,,
CDFW,TRD,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,TREU,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,TRH,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,TRN,KC,KMZC,,CA/OR border to Horse Mtn,,
CDFW,VEN,MO,SOC5,,Point Sur - Mexico,,
,VESB,MO,,,,,
